year,rain
1941,969.5000000000001
1942,942.8
1943,1032.3999999999999
1944,974.4
1945,1023.8000000000002
1946,1193.1
1947,1266.1
1948,1157.5
1949,752.6000000000001
1950,1054.7
1951,1141.9999999999998
1952,851.8000000000001
1953,843.3000000000001
1954,1036.7
1955,977.4
1956,1028.1
1957,1149.3
1958,1294.1000000000001
1959,883.5999999999999
1960,1320.8000000000002
1961,1008.9
1962,891.9000000000001
1963,1037.5
1964,902.1999999999998
1965,1102.0
1966,1284.0
1967,972.4999999999999
1968,1050.1
1969,857.9
1970,900.1999999999999
1971,748.0999999999999
1972,998.9
1973,867.0
1974,978.1
1975,657.7999999999998
1976,859.5999999999998
1977,1225.7
1978,1040.1
1979,1047.6999999999998
1980,1199.5999999999997
1981,1004.5000000000001
1982,1193.7
1983,1032.1
1984,932.6
1985,1032.8
1986,1062.1000000000001
1987,1038.6
1988,1114.9999999999998
1989,902.6000000000001
1990,826.8999999999999
1991,885.5999999999999
1992,841.0
1993,1158.5
1994,1125.6000000000001
1995,890.3
1996,1074.4
1997,1041.2
1998,1055.5
1999,840.0
2000,1083.0
2001,873.1000000000001
2002,1353.8999999999999
2003,949.4
2004,924.3
2005,1003.1
2006,1185.6
2007,943.5999999999999
2008,1065.1000000000001
2009,1334.4
2010,989.1000000000001
2011,817.5000000000001
2012,1197.4
2013,960.3
2014,1214.1000000000001
2015,1157.6
2016,1006.1999999999999
2017,1006.1999999999999
2018,1196.2
2019,1144.7
2020,1097.3
2021,1077.6999999999998
2022,1046.6
2023,1265.8000000000002
2024,94.0
